X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-47.648064,-22.734286,train,2.9004138766695507E-4,54.48666225748747,0.7258482331534803
-48.612387,-23.106709,train,4.2744136671642207E-4,79.86491668826272,0.8514908811779214
-48.444165,-22.884181,train,4.2076602601656416E-4,78.68134027060113,0.8470012681368497
-46.499779,-23.709942,train,2.776176497164658E-4,51.32906196621998,0.7102227115151112
-48.131024,-22.788382,train,1.5991118994462857E-4,24.948518056901996,0.5100605297722585
-48.699068,-22.82203,train,4.1799227819284545E-4,78.25141936871054,0.8450960537637972
-47.96141,-22.530255,train,2.8410670432336337E-4,53.01690655283258,0.7184920927652729
-49.00094,-22.701441,train,4.2983325128792847E-4,80.24410179849968,0.8530673195102316
-43.460742,-22.756132,train,2.9013709359580633E-4,54.510388378139794,0.7259652736398494
-84.327909,9.982252,train,4.916118234003934E-4,88.80220112566204,0.8884650526220578
-88.985657,13.835482,train,3.9671765847550317E-4,74.53738294903306,0.8296720180595403
-88.98207,13.741312,train,3.464233385038898E-4,65.77829729509118,0.7868228909063599
-88.703673,13.433413,train,2.619262471320648E-4,47.76984725407336,0.689208347686397
-88.577065,18.260667,train,3.1397376776068917E-4,59.64102303995736,0.7536130924834772
-88.60121,18.237124,train,3.269565449482417E-4,62.12057998533491,0.7674795850521807
-88.49765,17.189877,train,3.674151502195027E-4,69.45154770939503,0.8058823423617525
-79.91927,22.49372,train,3.5348722735957847E-4,66.99595590187629,0.7934367897763446
-80.443778,22.159975,train,3.2555739674834796E-4,61.90190428809544,0.7660235225627647
-81.953482,22.892653,train,2.889613370076896E-4,54.23167012103179,0.7245239497335324
-86.872215,12.431553,train,2.35169457838495E-4,41.859369936467104,0.6498004495111511
-6.461,41.350144,train,2.0621952225877193E-4,35.35892108901366,0.6015154839344048
-86.236174,12.446468,train,2.7353652703986065E-4,50.42458256145477,0.7048979163453
-86.077172,12.145605,train,2.450789507155796E-4,44.38470534360144,0.6649465416304435
-86.268194,12.124615,train,2.6473162872128704E-4,48.405787338056335,0.6930741985543669
-86.36302,13.085114,train,4.7941662680071087E-4,87.17439705481071,0.8822281707498266
-86.459209,13.472601,train,3.781778521994222E-4,71.1174616602047,0.8149835634535917
-86.682222,13.27,train,4.080632728569938E-4,76.43557024439048,0.8380795246949673
-89.398528,18.806656,train,2.973173598217493E-4,56.00659332939309,0.7346051418565565
-100.901681,29.023806,train,4.859933871803994E-4,88.026524589372,0.885633790227909
146.921099,-31.253218,train,1.594622128029152E-4,24.838375080244166,0.5090781019193047
144.785153,-37.471308,train,3.4138437807203675E-4,64.7941829666988,0.7819759070895262
-80.342198,27.499208,train,9.343865368410367E-5,13.026451872111055,0.3409091406377154
-84.387982,33.748995,train,4.151614875043929E-4,77.72425338413893,0.8431271945410296
-79.0193,35.759573,train,3.8565543563622815E-4,72.90791087945817,0.8210543654188266
-81.163725,33.836081,train,1.5702723277871206E-4,24.367976409447024,0.5037155933073918
-119.417932,36.778261,train,1.1607471368375343E-4,16.629773955018205,0.40422300916414744
-85.602364,44.314844,train,2.9348923003692836E-5,2.9601943800295936,0.12273455808866518
-77.194525,41.203322,train,4.40275155934141E-4,82.05319488012914,0.8597556817141049
-82.907123,40.417287,train,5.312100756783389E-4,91.12373575638784,0.9065278971905684
-89.398528,40.633125,train,6.229587902855443E-4,95.84251566367143,0.9379271234330794
-74.405661,40.058324,train,1.2709778189884543E-4,18.622753344607542,0.4328153240797221
-94.6859,46.729553,train,7.200258969604165E-5,9.594798159106391,0.27476018904674715
-76.641271,39.045755,train,3.342310496276258E-4,63.46633308653468,0.7749052384715026
-91.831833,37.964253,train,5.720646142971599E-4,93.25250942173608,0.9221033516785693
-74.005973,40.712775,train,5.226676192709469E-4,90.62630233486102,0.9028965622049782
-73.087749,41.603221,train,3.048953561294312E-4,57.62286552446349,0.7434283117192435
-78.656894,37.431573,train,3.591319072820528E-4,68.16314043425211,0.7985740777673833
-99.901813,31.968599,train,3.15807685060037E-4,60.054643380763515,0.7556208938932532
-86.134902,40.267194,train,5.494341584917839E-4,91.95869433791175,0.9138273448757235
-91.962333,30.984298,train,4.8472477066777256E-4,87.8095210439276,0.8849846228242104
-98.484246,39.011902,train,1.7221048424700494E-4,27.467073984359793,0.5362218693405932
-86.580447,35.517491,train,6.263992090443397E-4,96.29414849990266,0.9388726705284671
-97.092877,35.007752,train,3.148607595370152E-4,59.83848198095244,0.7545862364506908
-116.576504,53.933271,train,3.19542951892941E-5,3.2890285216574666,0.13287315811400924
-66.461916,46.565316,train,1.0356037021362904E-4,14.501924623734274,0.37001155088932014
-121.815931,49.37641,train,9.396627238701063E-5,13.118624656253989,0.3424588609955109
-122.30447,49.050438,train,1.8211396503083405E-4,29.760787347341854,0.556268320055908
-122.598398,49.219323,train,2.3272154436594877E-4,41.31709824322514,0.6459546698766645
-98.468744,49.128798,train,1.9672713506511785E-5,1.8361197693174998,0.0840316425241121
-74.451222,45.017095,train,3.6284006030457596E-4,68.75888086489923,0.8018791753881398
-74.113966,45.036537,train,1.3798686451283E-4,20.733089778946102,0.4597125587309099
-73.899632,45.044091,train,3.933395094552102E-4,74.1117310597863,0.8270853496618118
-73.569748,45.235223,train,4.5639135123509824E-4,84.52058079243194,0.8694859820086283
-82.734714,42.163944,train,4.4658204395624896E-4,83.25541719508321,0.863647058545975
-83.036363,42.314937,train,3.3547314199034904E-4,63.73079253885674,0.7761492241771651
-82.918148,42.035559,train,4.4709038656647645E-4,83.35088508976416,0.8639559654121649
-74.87333,45.122755,train,4.264679361606804E-4,79.64350490139906,0.8508444824621085
-80.201173,44.079119,train,1.452392076287303E-4,22.254655779012804,0.47691518400113675
-79.977449,44.26801,train,1.1545585594667232E-4,16.50648450656206,0.4025757072158104
-79.941655,44.125417,train,1.8718185892687992E-4,30.907978849146446,0.5661891077637308
-79.290213,43.058164,train,2.3935501969965005E-4,42.873474563733886,0.6562796207165904
-81.999837,42.338015,train,4.33566779915962E-4,81.07811591976669,0.8554946262033462
-79.084944,43.089558,train,3.124590995872532E-4,59.334994446851624,0.7519423774709828
-80.413627,42.796723,train,2.0929435999795764E-4,35.850271638194975,0.6069449481105915
-82.191038,42.404803,train,4.461502879214301E-4,83.15271674699855,0.863384140591138
22.937506,-30.559482,train,4.6053128186951553E-5,5.618212351847294,0.18573919974477227
24.684866,-22.328474,train,9.375374114448207E-5,13.081496335682175,0.34183505350792265
29.154857,-19.015438,train,1.1067180962257078E-4,15.66223558471734,0.389686671297797
27.849332,-13.133897,train,6.475976589849494E-4,97.50721512870243,0.9443891546839839
17.873887,-11.202692,train,3.1801455393246384E-4,60.56554931480192,0.7580153296725853
34.888822,-6.369028,train,1.3453774076605278E-4,19.96063684409913,0.45133382210227235
32.290275,1.373333,train,4.317926917617839E-4,80.53252716162899,0.8543462661238036
37.906193,-0.023559,train,6.32216450237268E-5,8.321218036375244,0.2457829534258439
40.489673,9.145,train,1.0554863472858263E-4,14.821932322887628,0.3755754699507148
39.782334,15.179384,train,5.242572073366535E-5,6.5758951461859505,0.20856464272064068
-1.023194,7.946527,train,1.6159321742571992E-4,25.24958071242557,0.5137236051983041
-14.452362,14.497401,train,1.2102736855610701E-5,0.9654136551699218,0.052566571493431025
8.675277,9.081999,train,2.0224760154131E-4,34.40782733403623,0.5943908128803097
-15.180413,11.803749,train,1.6932938798174945E-4,26.988796446796467,0.5302217304821062
16.0595888888889,38.5132666666667,train,3.593218947367223E-4,68.19299895417818,0.7987447469769108
16.097375,38.4485472222222,train,2.369589962833843E-4,42.275415468608074,0.6525854349980722
15.8949,38.4256888888889,train,2.2267433097023293E-4,38.85692785742548,0.6297225973147929
16.2561472222222,39.2889638888889,train,2.099968685461121E-4,36.02203636735245,0.6081750001915383
16.261825,39.1243333333333,train,2.0991876418445792E-4,36.002882983269934,0.6080384343613386
16.4665777777778,38.4166861111111,train,2.6776878297416927E-4,49.12363785390324,0.6972052441952854
-94.218414,35.97121,train,4.224504767539712E-4,78.99666542778546,0.8481468183927114
-88.19657,30.684572,train,6.463588102895385E-4,97.3132056474848,0.9440809228334668
-97.69127,30.239513,train,7.049867953935314E-4,99.26225295626261,0.9569515610737069
-76.2502,40.041992,train,5.371517915645184E-4,91.38297056653602,0.9089732919123205
-95.393036,29.857273,train,5.002897330140201E-4,89.52859547212631,0.8927009422292731
-96.77843,32.766987,train,8.487471343469886E-4,100.0,0.9773329447629185
-90.130295,42.65558,train,5.847674291382363E-4,94.04920827340685,0.926395441297847
-91.09318,30.544003,train,5.654049650410034E-4,92.71997909724743,0.9197540585754933
-82.36584,27.184385,train,1.0645444649549431E-4,14.980270154094226,0.37809395610158136
-90.03623,29.5033,train,5.575130094702588E-4,92.25257696178447,0.9168781494834409
-81.63298,33.550014,train,1.0236969074742207E-4,14.370121739440892,0.36665587127643906
-82.34957,27.90659,train,3.0858489561264024E-4,58.38006253936635,0.7476173097990468
-92.06417,30.206507,train,5.758447467386338E-4,93.46676707223651,0.9234061210159555
-98.52015,29.448671,train,7.263053125284142E-4,99.76253374212489,0.9608574758126672
-80.49905,25.610495,train,3.1565713783528296E-4,60.01408545279904,0.7554566906853029
-82.3248,29.6516,train,2.997770142715238E-4,56.51287285376647,0.7375017164088409
151.445761,-33.083056,train,2.8061245839630097E-4,52.24597324839476,0.7140689313805004
-97.845974,30.159709,train,6.518159448138153E-4,97.62404760211167,0.9454260000758872
-87.793647,33.334841,train,4.480120798914831E-4,83.52397213665476,0.8645142713186587
-81.940269,41.016177,train,4.815019557259312E-4,87.44605112889185,0.8833188477263341
30.25,-29.333333,train,2.1749813376960924E-4,37.749736570132875,0.6210716923461476
150.97403,-33.93735,train,4.985262151186101E-4,89.37516879805591,0.8918533549739028
-98.0,26.05,train,1.6162831986123112E-4,25.25544464710139,0.5137997579107583
-98.1,26.05,train,2.225723510456683E-4,38.8229728057497,0.6295540818943921
-97.3,26.22,train,3.7087005310102426E-4,70.03311575247504,0.8088516614837331
