Predictor variable,Categorical,Sample average
bioclim_13,false,171.8311403508772
bioclim_14,false,35.35910087719298
bioclim_15,false,49.05592105263158
bioclim_18,false,295.56030701754383
bioclim_19,false,207.6940789473684
bioclim_5,false,298.4945175438597
bioclim_6,false,39.53125
