gbifid	datasetkey	occurrenceid	kingdom	phylum	class	order	family	genus	species	infraspecificepithet	taxonrank	scientificname	countrycode	locality	publishingorgkey	decimallatitude	decimallongitude	coordinateuncertaintyinmeters	coordinateprecision	elevation	elevationaccuracy	depth	depthaccuracy	eventdate	day	month	year	taxonkey	specieskey	basisofrecord	institutioncode	collectioncode	catalognumber	recordnumber	identifiedby	license	rightsholder	recordedby	typestatus	establishmentmeans	lastinterpreted	mediatype	issue
1846920131	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442408	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2015-03-31T00:00:00Z	31	3	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1051535			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:40.801Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920130	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442398	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.857273	-95.393036							2012-07-13T00:00:00Z	13	7	2012	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	674239			CC0_1_0		John Schneider			2018-07-06T21:21:41.146Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920127	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442409	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	32.766987	-96.77843							2015-05-29T00:00:00Z	29	5	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1076165			CC0_1_0		Gacko			2018-07-06T21:21:41.631Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920126	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442411	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	42.65558	-90.130295							2015-08-30T00:00:00Z	30	8	2015	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	1137322			CC0_1_0		Marci Hess			2018-07-06T21:21:41.557Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920123	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442394	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.857273	-95.393036							2011-07-02T00:00:00Z	2	7	2011	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	538778			CC0_1_0		Graham Montgomery			2018-07-06T21:21:41.894Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920122	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442393	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.544003	-91.09318							2008-09-30T00:00:00Z	30	9	2008	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	353431			CC0_1_0		Gayle and Jeanell Strickland			2018-07-06T21:21:41.281Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920118	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442403	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	29.857273	-95.393036							2013-04-17T00:00:00Z	17	4	2013	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	868251			CC0_1_0		A. Hendrickson			2018-07-06T21:21:40.953Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920115	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442395	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2011-07-15T00:00:00Z	15	7	2011	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	546568			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.403Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920109	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442402	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	30.684572	-88.19657							2013-06-06T00:00:00Z	6	6	2013	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	781708			CC0_1_0		Robert Lord Zimlich			2018-07-06T21:21:41.146Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
1846920107	cca13f2c-0d2c-4c2f-93b9-4446c0cc1629	61442400	Animalia	Arthropoda	Insecta	Coleoptera	Nitidulidae	Aethina	Aethina tumida		SPECIES	Aethina tumida Murray, 1867	US		c3ad790a-d426-4ac1-8e32-da61f81f0117	27.184385	-82.36584							2013-03-04T00:00:00Z	4	3	2013	8254044	8254044	HUMAN_OBSERVATION	BISON	BugGuide	748567			CC0_1_0		Gary R. McClellan			2018-07-06T21:21:41.171Z		RECORDED_DATE_MISMATCH;GEODETIC_DATUM_ASSUMED_WGS84
