locationRemarks;verbatimLocality;verbatimLatitude;verbatimLongitude;municipality;county;stateProvince;egg;larva;pupa;adult;verbatimEventDate
Станция № 8  защитна зона;c.da conche;38° 26´ 54,77ʺ;16° 5´ 50,55ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;2;02.05.2016
Станция № 2 защитна зона;Strada Statale;38° 29´ 54,51ʺ;16° 10´ 43,46ʺ;Candidoni;Reggio di Calabria;Calabria;;;;8;17.06.2016
Станция № 2 зона на внимание;Strada Statale;38° 27´ 48,73ʺ;16° 10´ 37,29ʺ;Candidoni;Reggio di Calabria;Calabria;;;;2;05.07.2016
Станция № 9  защитна зона;c.da Terre di Vasia;38° 31´ 43,79ʺ;16° 6´ 25,15ʺ;Serrata;Reggio di Calabria;Calabria;;;;8;10.08.2016
Станция № 2 5 защитна зона;;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;Maropati;Reggio di Calabria;Calabria;;;;6;29.08.2016
Станция № 9 защитна зона;c.da Terre di Vasia;38° 29´ 54,51ʺ;16° 10´ 43,46ʺ;Serrata;Reggio di Calabria;Calabria;;;;4;29.08.2016
Станция № 25 зона на внимание;;38° 27´ 48,73ʺ;16° 10´ 37,29ʺ;Maropati;Reggio di Calabria;Calabria;;;;13;29.08.2016
Станция № 29 защитна зона;c.da Tremola;38° 31´ 43,79ʺ;16° 6´ 25,15ʺ;Galatro;Reggio di Calabria;Calabria;;;;4;07.10.2016
Станция № 6 защитна зона;c.da Campo;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;San Pietro di Carida;Reggio di Calabria;Calabria;;;;9;25.11.2016
;c.da Serrone;39° 8´ 6,43ʺ;16° 13´ 16,7ʺ;Grimaldi;CS;Calabria;;;;2;25.07.2016
;c.da Folle;39° 17´ 20,27ʺ;16° 15´ 22,13ʺ;Grimaldi;CS;Calabria;;;;1;28.07.2016
;c.da Monti;39° 8´ 8,36ʺ;16° 13´ 19,02ʺ;Grimaldi;CS;Calabria;;;;2;28.07.2016
;c.da Maione;39° 7´ 27,6ʺ;16° 15´ 42,57ʺ;Altilia;CS;Calabria;;;;2;28.07.2016
;c.da Taverna;39° 10´ 4,31ʺ;16° 14´ 53,14ʺ;Malito;CS;Calabria;;;;1;12.09.2016
;c.da Marro;38° 18´ 10ʺ;15° 59´ 55ʺ;Varapodio;Reggio di Calabria;Calabria;;;;8;13.09.2016
;c.da Cavaliere;38° 17´ 42,21ʺ;15° 58´ 47,85ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;6;13.09.2016
;c.da Delia;38° 17´ 40,26ʺ;15° 58´ 45,39ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;6;13.09.2016
;c.da Cambarela;38° 17´ 36,18ʺ;15° 58´ 46,77ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;9;13.07.2016
;ponte Quarantano;38° 24´ 35,1ʺ;15° 58´ 8,6ʺ;Rizziconi;Reggio di Calabria;Calabria;;;;8;13.09.2016
;c.da Cordopatri;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;9;14.09.2016
;c.da Ferraro;38° 17´ 38,32ʺ;15° 58´  47,85ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;9;14.09.2016
;c.da Bufalo;38° 17´ 40,26ʺ;15° 58´ 45,39ʺ;Oppido Mamertina;Reggio di Calabria;Calabria;;;;6;14.09.2016
;c.da Cirello;38° 22´ 25,6ʺ;15° 56´ 1,02ʺ;Rizziconi;Reggio di Calabria;Calabria;;;;7;14.09.2016
;c.da Caruso;38° 14´ 35,04ʺ;15° 58´ 29,31ʺ;Santa Cristina Daspromonte;Reggio di Calabria;Calabria;;;;8;14.09.2016
;c.da ponte Vecchio;38° 25´ 32,48ʺ;15° 53´ 41,64ʺ;Gioia tauro;Reggio di Calabria;Calabria;;;;7;14.09.2016
