Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.49312E-12,0.000000001,0.000000003,0.999009214,0,0
2.01578E-12,0.000000003,0.000000004,0.998216586,0,0
4.26699E-12,0.00000001,0.000000009,0.995937779,0,0
7.18779E-12,0.000000026,0.000000015,0.993361736,0,0
2.01497E-11,0.0000001,0.000000041,0.987912415,0,0
3.59936E-11,0.000000252,0.000000074,0.982364015,0,0
1.06919E-10,0.000001007,0.000000218,0.971366293,0,0
2.6152E-10,0.000002506,0.000000534,0.962845537,0,0
7.08452E-10,0.000010048,0.000001447,0.946398494,0,0
1.26922E-9,0.000025004,0.000002593,0.931536709,0,0
2.08335E-9,0.000050078,0.000004257,0.916278609,0,0
3.90054E-9,0.000100121,0.000007969,0.899237095,0,0
8.89066E-9,0.000250388,0.000018164,0.874962846,0,0
1.85206E-8,0.000501306,0.000037839,0.85593976,0,0
3.69292E-8,0.001002808,0.000075448,0.837015753,0,0
8.15757E-8,0.002500355,0.000166655,0.810561775,0,0
1.44893E-7,0.005003369,0.000295989,0.788269097,0,0
2.52234E-7,0.010019775,0.000515209,0.762706827,0,0
6.16406E-7,0.025050618,0.001258596,0.727038542,0,0
9.87372E-7,0.050064074,0.002015282,0.696126028,0,0
1.53107E-6,0.100126084,0.003123272,0.656395522,0,0
2.38508E-6,0.200095629,0.004861137,0.605370058,0,0.041666667
3.17045E-6,0.300085114,0.006456654,0.569800852,0,0.041666667
4.02926E-6,0.400335552,0.008198444,0.542058853,0,0.041666667
4.79978E-6,0.500335269,0.009758573,0.519468939,0,0.041666667
5.82482E-6,0.600014149,0.011830233,0.500842168,0,0.041666667
6.89331E-6,0.700218466,0.013985104,0.485088675,0,0.041666667
7.43571E-6,0.750143117,0.015077191,0.478153175,0,0.041666667
7.9505E-6,0.800021283,0.016112573,0.471713068,0,0.041666667
8.93957E-6,0.900597749,0.018098779,0.459922719,0,0.041666667
1.00407E-5,1.000368456,0.020305306,0.449618548,0,0.041666667
1.11271E-5,1.100609247,0.022477493,0.440206083,0,0.041666667
1.22004E-5,1.201169456,0.024618665,0.431685326,0,0.041666667
1.33634E-5,1.301003399,0.026933531,0.423957198,0,0.041666667
1.42675E-5,1.400559328,0.028729323,0.416823541,0.010416667,0.041666667
1.52144E-5,1.500508144,0.030606572,0.410086198,0.010416667,0.041666667
1.80797E-5,1.751688339,0.036264912,0.395125334,0.010416667,0.041666667
2.0654E-5,2.000792561,0.041320604,0.382443278,0.010416667,0.041666667
2.2986E-5,2.252144752,0.0458774,0.371049242,0.020833333,0.041666667
2.53395E-5,2.501016999,0.050454231,0.360844149,0.03125,0.041666667
2.74353E-5,2.751459755,0.054511435,0.351431685,0.03125,0.041666667
2.97518E-5,3.002568661,0.058975724,0.342712771,0.03125,0.041666667
3.20247E-5,3.252021787,0.063335511,0.334687407,0.03125,0.041666667
3.4607E-5,3.502004553,0.068264323,0.327256514,0.03125,0.041666667
3.7097E-5,3.753091233,0.072992366,0.320321015,0.03125,0.041666667
3.92173E-5,4.001022151,0.076999404,0.313880908,0.03125,0.041666667
4.1329E-5,4.250864651,0.080973053,0.307738036,0.03125,0.041666667
4.35804E-5,4.502362338,0.085190879,0.301892401,0.03125,0.041666667
4.62057E-5,4.751314975,0.090084502,0.296443079,0.041666667,0.041666667
4.84964E-5,5.002920401,0.094333022,0.291191915,0.041666667,0.041666667
5.06101E-5,5.250697419,0.09823575,0.286237987,0.041666667,0.041666667
5.24632E-5,5.503279256,0.101643484,0.281383137,0.052083333,0.041666667
5.45612E-5,5.755191138,0.105486101,0.276726444,0.052083333,0.041666667
5.63582E-5,6.004728144,0.108764147,0.272267908,0.052083333,0.041666667
5.82066E-5,6.251373558,0.112123554,0.26800753,0.0625,0.041666667
6.00375E-5,6.50523331,0.115438809,0.263747151,0.0625,0.041666667
6.19185E-5,6.755139342,0.118831593,0.25968493,0.0625,0.041666667
6.34662E-5,7.005905114,0.121613675,0.255721787,0.0625,0.041666667
6.52321E-5,7.256129838,0.124777119,0.251857723,0.0625,0.041666667
6.64909E-5,7.506147539,0.127025168,0.248092738,0.0625,0.041666667
6.86391E-5,7.756553201,0.13084818,0.24442683,0.0625,0.041666667
7.00796E-5,8.006575655,0.133402436,0.240860002,0.0625,0.083333333
7.18273E-5,8.254416547,0.136491332,0.237392252,0.0625,0.083333333
7.37257E-5,8.502007024,0.139834105,0.234023581,0.0625,0.083333333
7.62131E-5,8.756231068,0.144194477,0.230654909,0.0625,0.083333333
7.75732E-5,9.002445726,0.1465693,0.227484395,0.0625,0.083333333
7.97079E-5,9.25458481,0.150283324,0.224313881,0.0625,0.166666667
8.17692E-5,9.505311795,0.153854472,0.221242445,0.083333333,0.166666667
8.32517E-5,9.752915815,0.156413486,0.218270088,0.083333333,0.166666667
8.52126E-5,10.005792432,0.159786449,0.215297731,0.09375,0.166666667
8.76652E-5,10.255833383,0.163986044,0.212424453,0.09375,0.166666667
9.04483E-5,10.505003615,0.168726455,0.209650253,0.09375,0.166666667
9.25457E-5,10.752210767,0.172280957,0.206975131,0.09375,0.166666667
9.46429E-5,11.004578955,0.175819996,0.20430001,0.09375,0.166666667
9.6617E-5,11.253258748,0.179137445,0.201723967,0.09375,0.166666667
9.95739E-5,11.50815798,0.184081561,0.199147924,0.09375,0.166666667
1.01301E-4,11.759447875,0.186955709,0.19667096,0.09375,0.166666667
1.03283E-4,12.004561819,0.190241493,0.194293074,0.09375,0.166666667
1.06124E-4,12.256369766,0.194927775,0.191915189,0.09375,0.166666667
1.08125E-4,12.502883817,0.198212005,0.189636382,0.09375,0.166666667
1.10264E-4,12.754076915,0.201709045,0.187357575,0.09375,0.166666667
1.12753E-4,13.010879401,0.205758013,0.185078767,0.104166667,0.166666667
1.1506E-4,13.250662306,0.209493809,0.182998118,0.104166667,0.166666667
