Predictor variable,Categorical,Sample average
bioclim_1,false,169.07486979166666
bioclim_10,false,238.87174479166666
bioclim_11,false,93.52669270833333
bioclim_12,false,1080.888671875
bioclim_13,false,163.439453125
bioclim_14,false,37.556640625
bioclim_15,false,46.823567708333336
bioclim_16,false,430.5559895833333
bioclim_17,false,130.83203125
bioclim_18,false,302.1529947916667
bioclim_19,false,185.89322916666666
bioclim_2,false,115.24869791666667
bioclim_3,false,45.78515625
bioclim_4,false,5668.645833333333
bioclim_5,false,307.47265625
bioclim_6,false,28.711588541666668
bioclim_7,false,278.7610677083333
bioclim_8,false,207.88671875
bioclim_9,false,120.87565104166667
soil-max,false,0.3942253040149808
soil-mean,false,0.25635624622615677
soil-min,false,0.13890487840399146
