Predictor variable,Categorical,Sample average
bioclim_1,false,170.70963541666666
bioclim_10,false,237.75
bioclim_11,false,98.66015625
bioclim_12,false,1110.5696614583333
bioclim_13,false,169.8984375
bioclim_14,false,37.171875
bioclim_15,false,46.91015625
bioclim_16,false,447.3971354166667
bioclim_17,false,129.43684895833334
bioclim_18,false,304.4270833333333
bioclim_19,false,211.03841145833334
bioclim_2,false,111.93815104166667
bioclim_3,false,45.998697916666664
bioclim_4,false,5430.87109375
bioclim_5,false,304.6829427083333
bioclim_6,false,36.06640625
bioclim_7,false,268.6165364583333
bioclim_8,false,204.69140625
bioclim_9,false,129.341796875
soil-max,false,0.39278525734941167
soil-mean,false,0.25676980762121576
soil-min,false,0.14101945030658194
