Predictor variable,Categorical,Sample average
bioclim_1,false,167.13346354166666
bioclim_10,false,235.81901041666666
bioclim_11,false,92.94270833333333
bioclim_12,false,1086.5963541666667
bioclim_13,false,167.06119791666666
bioclim_14,false,36.5390625
bioclim_15,false,47.776692708333336
bioclim_16,false,440.6126302083333
bioclim_17,false,126.486328125
bioclim_18,false,298.8763020833333
bioclim_19,false,200.74934895833334
bioclim_2,false,114.619140625
bioclim_3,false,46.009114583333336
bioclim_4,false,5575.590494791667
bioclim_5,false,304.330078125
bioclim_6,false,28.419921875
bioclim_7,false,275.91015625
bioclim_8,false,202.94856770833334
bioclim_9,false,121.8828125
soil-max,false,0.39199056445310515
soil-mean,false,0.25337140580328804
soil-min,false,0.1359198597880701
