Predictor variable,Categorical,Sample average
bioclim_1,false,165.21940104166666
bioclim_10,false,234.70442708333334
bioclim_11,false,90.5546875
bioclim_12,false,1099.6139322916667
bioclim_13,false,165.306640625
bioclim_14,false,38.229166666666664
bioclim_15,false,46.354817708333336
bioclim_16,false,438.1412760416667
bioclim_17,false,132.03971354166666
bioclim_18,false,299.828125
bioclim_19,false,210.044921875
bioclim_2,false,114.01497395833333
bioclim_3,false,45.624348958333336
bioclim_4,false,5622.656901041667
bioclim_5,false,302.5924479166667
bioclim_6,false,26.545572916666668
bioclim_7,false,276.046875
bioclim_8,false,199.00520833333334
bioclim_9,false,122.37565104166667
soil-max,false,0.39599156597008306
soil-mean,false,0.2608939493851115
soil-min,false,0.14328911795746535
