Predictor variable,Categorical,Sample average
bioclim_1,false,164.826171875
bioclim_10,false,235.396484375
bioclim_11,false,88.771484375
bioclim_12,false,1083.6178385416667
bioclim_13,false,159.125
bioclim_14,false,38.586588541666664
bioclim_15,false,44.606119791666664
bioclim_16,false,424.7096354166667
bioclim_17,false,134.99934895833334
bioclim_18,false,307.5540364583333
bioclim_19,false,208.654296875
bioclim_2,false,112.07747395833333
bioclim_3,false,44.413411458333336
bioclim_4,false,5724.884114583333
bioclim_5,false,302.0651041666667
bioclim_6,false,25.444010416666668
bioclim_7,false,276.62109375
bioclim_8,false,199.90559895833334
bioclim_9,false,121.232421875
soil-max,false,0.39145774114876986
soil-mean,false,0.25733240709329647
soil-min,false,0.138274269644171
