X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-48.612387,-23.106709,train,5.138967889064501E-4,72.35833594229155,0.8580501426665212
-48.444165,-22.884181,train,4.606496180065805E-4,67.48951606844896,0.8262254820586429
-46.499779,-23.709942,train,4.7727459055572083E-4,68.77279789049521,0.8368613066254117
-48.131024,-22.788382,train,4.158678745014294E-4,62.37703709786384,0.7939985228786977
-47.96141,-22.530255,train,3.7114710871949386E-4,57.043878254953746,0.7558515503054132
-49.00094,-22.701441,train,4.701921612656147E-4,68.25183638899811,0.8324123169463907
-46.396136,-23.960745,train,1.867458003648313E-4,30.93052801892942,0.5080817590406701
-43.172896,-22.906847,train,5.831495276850141E-4,78.9686279556152,0.8908869601446895
-43.460742,-22.756132,train,5.391709455471209E-4,74.69330387053785,0.8710457137300427
-84.327909,9.982252,train,1.2055772154978512E-4,18.029132572915998,0.36744989981622833
-85.413051,11.066564,train,1.4977802942858814E-4,24.230022662175674,0.43391050257618136
-85.63064,11.070827,train,1.2493501495309582E-4,18.861207476059466,0.377881744485169
-88.985657,13.835482,train,8.457455463265616E-5,11.208107496603823,0.27479193266347834
-88.98207,13.741312,train,9.232254482005535E-5,12.806021918233053,0.29582692096071916
-88.703673,13.433413,train,6.444418743035223E-5,7.5496851091964405,0.21715605007085725
-88.142559,18.354812,train,3.215144803927426E-4,51.00272987096764,0.7051904400345375
-88.396754,18.40308,train,3.3469454461880623E-4,52.52443275387298,0.7195883099162024
-88.577065,18.260667,train,3.385402699065978E-4,52.89454602136704,0.7236552920718088
-88.60121,18.237124,train,3.432446761233974E-4,53.490269097700775,0.7285502326143303
-88.49765,17.189877,train,2.4055232399199962E-4,41.06975495505245,0.599023488293419
-79.91927,22.49372,train,2.851979770818807E-4,47.025790962311305,0.6615775046448071
-80.443778,22.159975,train,3.0685124350546625E-4,49.4030217967663,0.6883019693353533
-82.366596,23.113592,train,4.5951056342897134E-4,67.41451629845008,0.8254718885892054
-81.953482,22.892653,train,2.763671649581049E-4,45.82476030659638,0.6500315030852161
-82.911803,22.816568,train,4.990309690786282E-4,71.14051924371509,0.8498028497967526
-86.872215,12.431553,train,7.256876712900569E-5,8.934877010117372,0.24094950932598258
-6.461,41.350144,train,2.2461932830909813E-4,38.4510917018653,0.5740031659897638
-86.872215,12.114993,train,7.610098225006393E-5,9.546949541759348,0.2510670212923308
-86.236174,12.446468,train,1.1048408475906964E-4,16.22406758607953,0.34277335511504914
-86.05296,11.955006,train,9.731510664562606E-5,13.756156050847544,0.30905684474952444
-86.268194,12.124615,train,9.699929590661739E-5,13.68293257335077,0.3082273831674305
-86.36302,13.085114,train,2.051863924226345E-4,34.554521144963054,0.5413638633424521
-86.459209,13.472601,train,2.5044674081517736E-4,42.44595521818187,0.6138158985775469
-86.682222,13.27,train,2.3345573215462854E-4,39.95666932221421,0.5880662106116222
-89.398528,18.806656,train,3.773326503183055E-4,57.62715329257132,0.7615218436262347
-100.901681,29.023806,train,9.586300306069398E-5,13.43676353076105,0.3052347198558495
146.921099,-31.253218,train,1.0217057331133136E-4,14.666988908667747,0.32168501740763966
144.785153,-37.471308,train,3.216562980025039E-4,51.02928023697547,0.7053492293408454
-80.342198,27.499208,train,5.474131781423455E-4,75.43012004811425,0.8750209741015692
-84.387982,33.748995,train,6.232882034755709E-4,81.34804016298024,0.9063187038858256
-79.0193,35.759573,train,7.627286467900056E-4,89.97586900086992,0.9448438804029965
-81.163725,33.836081,train,6.478662789633906E-4,83.07494180442032,0.9146699188299136
-119.417932,36.778261,train,1.9584688664299005E-4,32.51299614200828,0.5247990722539276
-77.194525,41.203322,train,8.689421363869564E-4,93.98843998889654,0.9631570148269882
-82.907123,40.417287,train,0.0010151590332366472,98.38097325239575,0.9788594963579842
-89.398528,40.633125,train,9.143980903929761E-4,95.02830920015086,0.9690002489051727
-94.6859,46.729553,train,2.6590856839738534E-4,44.44476078857606,0.6358466407391661
-76.641271,39.045755,train,8.541845003659643E-4,93.77773156110597,0.9610324542614999
-91.831833,37.964253,train,9.886885205517215E-4,97.51590746412887,0.9766230232578242
-74.005973,40.712775,train,8.527899089507222E-4,93.5216032577382,0.9608254556118785
-73.087749,41.603221,train,6.814319603220783E-4,85.04389315547904,0.9248856336488813
