X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-47.648064,-22.734286,train,3.512560153149746E-4,48.3437173597744,0.7022017878372856
-48.612387,-23.106709,train,5.68352270646479E-4,69.11566869804642,0.8591438140544972
-48.444165,-22.884181,train,4.798922310123133E-4,61.3416554879715,0.8088989936389102
-46.499779,-23.709942,train,4.138538594634686E-4,54.750904511003746,0.7600233547761233
-48.131024,-22.788382,train,4.311213046506105E-4,56.61256611127873,0.7738964205980566
-48.699068,-22.82203,train,5.120017769464411E-4,64.54601655492117,0.8289305951511969
-47.96141,-22.530255,train,3.6037910607673184E-4,49.17679977776955,0.7114252109424852
-49.00094,-22.701441,train,5.008031664226588E-4,63.47381925142511,0.8221947581503088
-46.396136,-23.960745,train,1.7277288656315532E-4,26.920894847826695,0.4488914200637333
-43.172896,-22.906847,train,6.753815104919678E-4,78.55554270592593,0.9026182242230731
-43.460742,-22.756132,train,6.146310407185652E-4,72.92462182071542,0.8799218533594608
-85.63064,11.070827,train,7.523398418312351E-5,10.181148350291702,0.2285253133909636
-88.985657,13.835482,train,3.8785683706862375E-5,4.60378420948574,0.12519655427190945
-88.703673,13.433413,train,2.804315570850412E-5,3.016422685561822,0.09218025660834572
-88.142559,18.354812,train,3.5372941428722036E-4,48.590378898413874,0.7047311286709743
-88.396754,18.40308,train,3.6430008163811263E-4,49.480166032698996,0.7153010129751787
-88.577065,18.260667,train,3.646384709956241E-4,49.50430418395214,0.7156330536030197
-88.49765,17.189877,train,1.8609301409175928E-4,29.467140405813215,0.47363433797966814
-79.91927,22.49372,train,2.714091238386295E-4,41.09961204464962,0.6077985634533313
-80.443778,22.159975,train,3.291113176235548E-4,46.25313723996834,0.6785685909767455
-81.532215,23.03034,train,4.29787488567193E-4,56.48297933970027,0.7728539961468031
-82.366596,23.113592,train,5.378146979749756E-4,66.60629209697981,0.8435007711654805
-81.953482,22.892653,train,2.6611322152707826E-4,40.60410334994887,0.6005698165553628
-82.911803,22.816568,train,5.503473440791927E-4,67.54444121367735,0.8501205832833013
