X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
-47.648064,-22.734286,train,4.874358747457773E-4,68.75702304839255,0.7957831977445359
-48.612387,-23.106709,train,6.978264836361933E-4,80.03262108432965,0.8971254030517601
-48.444165,-22.884181,train,6.206919507100703E-4,76.59654251974446,0.8677233871372475
-46.499779,-23.709942,train,2.508955571683335E-4,34.38150521914564,0.5585447830090331
-48.131024,-22.788382,train,3.700741278918273E-4,53.85742770019722,0.7006334230200888
-48.699068,-22.82203,train,6.557609080633348E-4,78.57825014055793,0.8820094966152638
-47.96141,-22.530255,train,4.945581364044168E-4,69.50093617925796,0.8004688331646146
-49.00094,-22.701441,train,6.851009296658096E-4,79.61424831813356,0.8927691665643301
-43.460742,-22.756132,train,2.866091928958648E-4,39.95771076272422,0.6070492020869387
-84.327909,9.982252,train,4.151319046147339E-4,61.33208263491671,0.7415186024333975
-88.985657,13.835482,train,2.539732934735534E-4,34.71673150541576,0.5629506512608596
-88.98207,13.741312,train,3.1573322909296845E-4,44.90030891212531,0.6426313063527491
-88.703673,13.433413,train,3.081317187256341E-4,43.543993423234994,0.6336674117769056
-88.577065,18.260667,train,4.801701701117836E-4,67.87947859029222,0.7908897951561157
-88.60121,18.237124,train,4.6741597550597255E-4,66.86054650149126,0.7820146537745744
-88.49765,17.189877,train,4.2247477739940456E-4,62.12388546993625,0.7476308211117257
-79.91927,22.49372,train,4.357044105813832E-4,63.33219776507013,0.7582807073566438
-80.443778,22.159975,train,4.1363250620784565E-4,61.05312893588751,0.7402524161785526
-81.953482,22.892653,train,3.4497209059129296E-4,50.00401736315827,0.6751130160412431
-86.872215,12.431553,train,2.944689205450076E-4,41.02982602883954,0.616986881790927
-6.461,41.350144,train,2.9858415552837573E-4,41.858926343643994,0.6220894514012112
-86.236174,12.446468,train,3.124416925925855E-4,44.42181484030717,0.638777087532581
-86.077172,12.145605,train,1.9540097997329753E-4,26.191560319812883,0.4710279276852726
-86.268194,12.124615,train,3.2202479709332767E-4,45.91089409596934,0.64988434899016
-86.36302,13.085114,train,3.3336881294940626E-4,48.02720113619641,0.662591983972922
-86.459209,13.472601,train,4.113185247867244E-4,60.46149617944352,0.738286161761919
-86.682222,13.27,train,4.1062844159413264E-4,60.222327380493276,0.7376969026497151
-89.398528,18.806656,train,4.35602878987841E-4,63.31990934525615,0.7582007102858553
-100.901681,29.023806,train,3.7958056925617174E-4,55.341107148322806,0.7097661555571415
146.921099,-31.253218,train,1.917001733856246E-4,25.508166956220595,0.46460932480284467
144.785153,-37.471308,train,4.978718673354085E-4,69.68942698983524,0.8026120924187915
-80.342198,27.499208,train,1.7659467033746736E-4,23.186036681377495,0.4375927927655108
-84.387982,33.748995,train,7.964193149538303E-4,83.01227612970276,0.9253961030384119
-79.0193,35.759573,train,0.0011522243694226501,90.60899047357051,0.9766029538668995
-81.163725,33.836081,train,2.500496909254818E-4,34.31286046294003,0.5573261391354387
-119.417932,36.778261,train,4.470080444495299E-5,5.163195458219908,0.13556720638662478
-85.602364,44.314844,train,6.950095668520725E-5,9.057165478016385,0.20268576792409732
-77.194525,41.203322,train,0.0010654984434061675,88.51235851666094,0.9689607337264964
-82.907123,40.417287,train,8.08885720910601E-4,83.32915083802503,0.9283664008177809
-89.398528,40.633125,train,6.5931811871763E-4,78.80916968598434,0.8833694730249906
-74.405661,40.058324,train,5.513878582910636E-4,72.4010748201234,0.8342036707693693
-94.6859,46.729553,train,4.4548971609705114E-5,5.141884550120234,0.13513935385700793
-76.641271,39.045755,train,0.0011001889908779576,89.52556130696337,0.9722788635929092
-91.831833,37.964253,train,7.962492899535701E-4,83.00795438512361,0.9253547521979268
-74.005973,40.712775,train,0.001897712646580714,99.61393507341876,0.9979393251144205
-73.087749,41.603221,train,0.0019150246817391412,99.80543774509891,0.9980523706294381
-78.656894,37.431573,train,0.0013881326748644575,95.02568685746859,0.9891542300431128
-99.901813,31.968599,train,3.2517155727526426E-4,46.62089836745025,0.653456582593947
-86.134902,40.267194,train,9.748215538027385E-4,86.83854675481348,0.9582886746887093
-91.962333,30.984298,train,0.001024509438876127,87.60118930363588,0.9645246578082363
-98.484246,39.011902,train,1.131374830684797E-4,14.790397256954275,0.3083806876531996
-86.580447,35.517491,train,0.0013160606294956535,94.23691461999702,0.986282658588851
-97.092877,35.007752,train,3.232605522078641E-4,46.09900672160596,0.6512915606163309
-116.576504,53.933271,train,3.0451843803603674E-6,0.16669239061749,0.009875294072576812
-66.461916,46.565316,train,6.185335223488596E-4,76.46625222470458,0.8667896195080033
-121.815931,49.37641,train,3.4480417205182485E-5,3.5278159061995864,0.10628921651334666
-122.30447,49.050438,train,7.810577215150738E-5,10.17358119321219,0.22473459369328697
-122.598398,49.219323,train,8.090897534447087E-5,10.524596590196156,0.231784971731808
-98.468744,49.128798,train,1.10352901165244E-5,0.8758626399619118,0.03532541652794596
-74.451222,45.017095,train,0.0012022133740146716,91.34806262959773,0.9801204094084613
-74.113966,45.036537,train,5.890521111183727E-4,74.8056299633995,0.8533555733907169
-73.899632,45.044091,train,0.0010814913514661639,88.91105586008784,0.9705371093551165
-73.569748,45.235223,train,0.0010227371970913724,87.5785861330241,0.964319166204223
-82.734714,42.163944,train,0.001245390879915472,92.3242363980407,0.982729905205634
