Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.39625E-12,0.000000001,0.000000005,0.999011467,0,0
1.823E-12,0.000000003,0.000000006,0.998121787,0,0
3.70757E-12,0.00000001,0.000000012,0.995551601,0,0
5.90119E-12,0.000000025,0.000000019,0.992487149,0,0
1.35459E-11,0.000000101,0.000000044,0.984381178,0,0
2.57286E-11,0.000000251,0.000000084,0.976670621,0,0
8.66795E-11,0.000001,0.000000282,0.961941479,0,0
2.01181E-10,0.000002517,0.000000656,0.951364176,0,0
6.86785E-10,0.000010057,0.000002238,0.933175168,0,0
1.44887E-9,0.000025128,0.000004722,0.918940293,0,0
2.32994E-9,0.000050099,0.000007593,0.905891657,0,0
3.7815E-9,0.000100326,0.000012324,0.889383155,0,0
8.78616E-9,0.000250568,0.000028634,0.86466983,0,0
1.83441E-8,0.000501113,0.000059782,0.845887703,0,0
3.56954E-8,0.001002071,0.000116326,0.827006722,0,0
8.71503E-8,0.002501156,0.000283986,0.801304864,0,0
1.68783E-7,0.005002875,0.000549919,0.781534203,0,0
3.30323E-7,0.010014034,0.001075958,0.761269276,0,0
6.8414E-7,0.025008631,0.002227155,0.731415579,0,0
1.19124E-6,0.050057972,0.003874784,0.704527481,0,0
2.14768E-6,0.100205655,0.006974951,0.674278371,0,0
3.4992E-6,0.200325671,0.011339263,0.639185449,0.008333333,0
4.92861E-6,0.300485089,0.01593423,0.615658363,0.008333333,0
6.20798E-6,0.400042967,0.02002876,0.597963622,0.008333333,0
7.30194E-6,0.500481987,0.023516392,0.583333333,0.008333333,0
8.32924E-6,0.600373389,0.026780208,0.570680111,0.008333333,0
9.34794E-6,0.700798723,0.030005918,0.559410834,0.008333333,0
9.77743E-6,0.750688261,0.031362695,0.554270463,0.008333333,0
1.02472E-5,0.800664993,0.03284468,0.549327798,0.008333333,0
1.12954E-5,0.900681694,0.036142976,0.54013444,0.016666667,0
1.23702E-5,1.00088214,0.039513024,0.53173191,0.016666667,0
1.34744E-5,1.100220758,0.042963379,0.524120206,0.016666667,0
1.44353E-5,1.200853852,0.045955671,0.517002768,0.025,0
1.53844E-5,1.300661093,0.048902156,0.510379597,0.025,0
1.63912E-5,1.400837087,0.052017823,0.504151839,0.025,0
1.71892E-5,1.501599383,0.054480051,0.498220641,0.025,0
1.935E-5,1.751586015,0.061115195,0.484677738,0.025,0
2.16582E-5,2.001161021,0.068151294,0.472617635,0.025,0
2.41096E-5,2.251431042,0.075566639,0.461842626,0.025,0
2.60501E-5,2.502585955,0.081394211,0.451957295,0.025,0
2.81175E-5,2.75056598,0.087562846,0.442862792,0.025,0
3.03052E-5,3.001254946,0.094045194,0.434361408,0.025,0
3.24537E-5,3.252054615,0.100366543,0.426453144,0.025,0
3.43436E-5,3.502998553,0.105890593,0.419039146,0.025,0
3.57143E-5,3.751630631,0.109875788,0.412020561,0.033333333,0
3.75392E-5,4.002006074,0.115153984,0.405298537,0.033333333,0
3.93244E-5,4.252080322,0.120287172,0.398873072,0.033333333,0
4.0732E-5,4.50104404,0.12431353,0.392744168,0.033333333,0
4.21926E-5,4.750100398,0.128472103,0.38681297,0.033333333,0
4.35626E-5,5.003439696,0.132354807,0.380980625,0.033333333,0
4.53337E-5,5.252027225,0.137348511,0.37544484,0.05,0
4.68275E-5,5.500943669,0.141537948,0.370106762,0.05,0
4.8287E-5,5.753196824,0.145611487,0.364867537,0.05,0
4.99056E-5,6.004043048,0.150106682,0.359826018,0.058333333,0
5.1407E-5,6.252517524,0.154254989,0.354982206,0.058333333,0
5.30235E-5,6.503492975,0.158698969,0.350237248,0.058333333,0
5.46537E-5,6.751079798,0.163156912,0.345689996,0.058333333,0
5.69506E-5,7.002345605,0.16939789,0.341241597,0.058333333,0
5.87511E-5,7.251152836,0.174257539,0.336990905,0.058333333,0
6.01875E-5,7.501071348,0.178113928,0.332839067,0.058333333,0
6.18926E-5,7.751409725,0.182668391,0.328786081,0.058333333,0
6.32301E-5,8.001870529,0.186223417,0.324831949,0.058333333,0
6.48939E-5,8.252130573,0.190624067,0.320976671,0.075,0
6.65376E-5,8.502190465,0.194948363,0.317220245,0.083333333,0
6.78063E-5,8.750827309,0.198269945,0.313562673,0.083333333,0
6.92E-5,9.004208588,0.201903483,0.309905101,0.083333333,0
7.06309E-5,9.255992375,0.205616583,0.306346382,0.1,0
7.22232E-5,9.506288909,0.209728084,0.302886516,0.1,0
7.40289E-5,9.75479533,0.214365233,0.299525504,0.1,0
7.67144E-5,10.003710305,0.221211151,0.296263345,0.1,0
7.87537E-5,10.252685895,0.226369941,0.29310004,0.108333333,0
8.07778E-5,10.508074573,0.231456543,0.289936734,0.108333333,0
8.27214E-5,10.752878143,0.236309241,0.286971135,0.116666667,0
8.44965E-5,11.003591924,0.240714508,0.284005536,0.116666667,0
8.60511E-5,11.251028612,0.244551811,0.28113879,0.116666667,0
8.78377E-5,11.503223346,0.248937542,0.278272044,0.116666667,0
8.9551E-5,11.751347276,0.25311955,0.275504152,0.125,0
9.15191E-5,12.004824001,0.257894821,0.272736259,0.125,0
9.39462E-5,12.255191404,0.263741763,0.27006722,0.125,0
9.58756E-5,12.501892539,0.268356926,0.267497034,0.125,0
9.76111E-5,12.754006768,0.272483443,0.264926849,0.125,0
9.92261E-5,13.009715385,0.276302502,0.262356663,0.125,0
1.00658E-4,13.259745855,0.27967083,0.25988533,0.125,0
1.02446E-4,13.503677241,0.283857029,0.257512851,0.125,0
1.05557E-4,13.752999603,0.291081526,0.255140372,0.125,0
1.07095E-4,14.008817335,0.294624864,0.252767892,0.125,0
1.08713E-4,14.257085525,0.298336304,0.250494267,0.125,0
1.10511E-4,14.509361138,0.30243542,0.248220641,0.125,0
1.12839E-4,14.755431234,0.307706973,0.246045868,0.125,0
1.14976E-4,15.005771702,0.312511754,0.243871095,0.133333333,0
1.1667E-4,15.260813588,0.316297707,0.241696323,0.133333333,0
1.19281E-4,15.508798026,0.32209113,0.239620403,0.133333333,0
1.21394E-4,15.761502912,0.326742876,0.237544484,0.133333333,0
1.233E-4,16.006551237,0.330910996,0.235567418,0.133333333,0
1.25739E-4,16.255617057,0.336208798,0.233590352,0.133333333,0
1.27915E-4,16.509055327,0.340899754,0.231613286,0.133333333,0
1.29552E-4,16.753639758,0.344406282,0.229735073,0.133333333,0
1.31741E-4,17.002100393,0.349066994,0.22785686,0.133333333,0
1.33557E-4,17.254245232,0.352908864,0.225978648,0.133333333,0
1.3608E-4,17.510985971,0.358206602,0.224100435,0.133333333,0
1.38178E-4,17.758373181,0.362580839,0.222321076,0.133333333,0
1.39868E-4,18.008647661,0.366081224,0.220541716,0.133333333,0
1.41049E-4,18.261556774,0.368517368,0.218762357,0.133333333,0
1.4289E-4,18.502781236,0.372294767,0.217081851,0.133333333,0
1.43908E-4,18.760872626,0.374372837,0.215302491,0.133333333,0
1.45487E-4,19.00713999,0.377584511,0.213621985,0.133333333,0
1.47074E-4,19.255953468,0.380796364,0.211941479,0.133333333,0
1.48858E-4,19.507782838,0.384386332,0.210260973,0.141666667,0
1.50482E-4,19.76213205,0.387635126,0.208580467,0.141666667,0
1.52968E-4,20.005018429,0.392577107,0.206998814,0.141666667,0
1.5443E-4,20.251285575,0.395462861,0.205417161,0.141666667,0
1.56522E-4,20.500274255,0.399570857,0.203835508,0.141666667,0
1.57467E-4,20.751550947,0.401417401,0.202253855,0.141666667,0
1.59646E-4,21.005555717,0.405652664,0.200672202,0.141666667,0
1.6126E-4,21.262745662,0.408772445,0.19909055,0.141666667,0
1.63307E-4,21.506391701,0.412702013,0.19760775,0.141666667,0
1.65418E-4,21.753169966,0.416728599,0.196124951,0.141666667,0
1.66891E-4,22.002543585,0.419523108,0.194642151,0.141666667,0
1.68714E-4,22.25456754,0.422961536,0.193159352,0.15,0
1.69847E-4,22.508595354,0.425088398,0.191676552,0.158333333,0
1.72986E-4,22.765895756,0.430939155,0.190193752,0.158333333,0
1.75517E-4,23.009669639,0.435613833,0.188809806,0.158333333,0
1.77025E-4,23.256462643,0.438380823,0.18742586,0.166666667,0
1.78365E-4,23.505239402,0.440827487,0.186041914,0.166666667,0
1.8057E-4,23.7565297,0.444833002,0.184657968,0.166666667,0
1.82655E-4,24.011053956,0.448591247,0.183274021,0.166666667,0
1.84587E-4,24.268341927,0.452053689,0.181890075,0.166666667,0
1.85959E-4,24.509432779,0.454497206,0.180604982,0.166666667,0
1.87225E-4,24.751871859,0.456742677,0.179319889,0.166666667,0
1.89575E-4,25.016125736,0.460888298,0.177935943,0.166666667,0
1.9045E-4,25.263155991,0.462424208,0.17665085,0.166666667,0
1.91719E-4,25.511856626,0.46464201,0.175365757,0.175,0
1.92781E-4,25.761734806,0.466491658,0.174080664,0.175,0
1.94012E-4,26.013383796,0.468627885,0.172795571,0.175,0
1.9599E-4,26.267119034,0.472042566,0.171510478,0.183333333,0
1.9738E-4,26.502941753,0.474428617,0.170324239,0.183333333,0
1.98959E-4,26.760684988,0.477126745,0.169039146,0.183333333,0
2.0018E-4,27.000280611,0.479202677,0.167852906,0.183333333,0
2.02E-4,27.262279227,0.482283608,0.166567813,0.183333333,0
2.03705E-4,27.50579751,0.485151487,0.165381574,0.183333333,0
2.05547E-4,27.751257816,0.48823364,0.164195334,0.191666667,0
2.079E-4,28.019515382,0.492141754,0.162910241,0.191666667,0
2.09212E-4,28.269773754,0.49430867,0.161724002,0.2,0
2.11104E-4,28.501043361,0.497418283,0.160636615,0.2,0
2.1221E-4,28.755142059,0.499226587,0.159450376,0.2,0
2.14382E-4,29.01127137,0.502757909,0.158264136,0.2,0
2.17165E-4,29.269983617,0.507248731,0.157077896,0.2,0
2.18989E-4,29.509942098,0.510169066,0.15599051,0.2,0
2.20182E-4,29.751456464,0.512068773,0.154903124,0.2,0
2.2194E-4,30.016952938,0.514857533,0.153716884,0.2,0
2.23406E-4,30.261786757,0.517169157,0.152629498,0.2,0
2.25213E-4,30.508511273,0.520004064,0.151542112,0.2,0
2.26355E-4,30.756724006,0.521788028,0.150454725,0.2,0
2.28539E-4,31.007265948,0.525178725,0.149367339,0.2,0
2.31017E-4,31.260754341,0.528997877,0.148279953,0.2,0
2.33268E-4,31.516292842,0.532440323,0.147192566,0.2,0
2.34615E-4,31.750193554,0.534488671,0.146204033,0.208333333,0
2.35784E-4,32.009010894,0.536259414,0.145116647,0.208333333,0
2.37529E-4,32.269231898,0.538889582,0.144029261,0.208333333,0
2.39239E-4,32.507529402,0.541452191,0.143040728,0.208333333,0
2.40022E-4,32.771076792,0.542619868,0.141953341,0.208333333,0
2.41963E-4,33.012210725,0.54550421,0.140964808,0.208333333,0
2.42814E-4,33.254713076,0.546762502,0.139976275,0.208333333,0
2.44157E-4,33.522442443,0.548742668,0.138888889,0.208333333,0
2.45562E-4,33.767517337,0.55080382,0.137900356,0.216666667,0
2.48687E-4,34.014786079,0.555355658,0.136911823,0.216666667,0
2.49447E-4,34.263950163,0.55645581,0.13592329,0.225,0
2.52542E-4,34.515119331,0.560907702,0.134934757,0.241666667,0
2.54342E-4,34.768667552,0.563474988,0.133946224,0.25,0
2.56105E-4,35.023916894,0.565976239,0.132957691,0.258333333,0
2.56944E-4,35.254841219,0.567161836,0.132068011,0.258333333,0
2.58144E-4,35.512387207,0.568851703,0.131079478,0.258333333,0
2.58877E-4,35.770990173,0.569879127,0.130090945,0.258333333,0
2.60409E-4,36.004575646,0.572021603,0.129201265,0.258333333,0
2.61931E-4,36.265829663,0.574138897,0.128212732,0.258333333,0
2.63474E-4,36.502327918,0.576275765,0.127323053,0.258333333,0
2.65542E-4,36.767219006,0.579122399,0.12633452,0.258333333,0
2.6659E-4,37.006633671,0.580557199,0.12544484,0.258333333,0
