X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-48.612387,-23.106709,train,5.037564854696473E-4,65.8771129177846,0.6120144345274546
-48.444165,-22.884181,train,3.99186783502548E-4,54.575275600540685,0.5555507726070738
-46.499779,-23.709942,train,4.0665575951262485E-4,55.78463045177394,0.5601231260756087
-48.131024,-22.788382,train,3.317286787772538E-4,46.074356201490694,0.5095018924431683
-48.699068,-22.82203,train,4.4691062599669346E-4,59.915693709663806,0.5832315235609218
-47.96141,-22.530255,train,3.0484818568048995E-4,42.32151729152389,0.488379254255138
-49.00094,-22.701441,train,4.1478657291307256E-4,56.65584028226868,0.5649948755131181
-46.396136,-23.960745,train,2.1290807944871685E-4,29.970946310314694,0.4000048894702788
-43.172896,-22.906847,train,4.3169659901145705E-4,58.1594753583814,0.5747890654386774
-43.460742,-22.756132,train,4.0960863864260126E-4,56.185145092674816,0.5619049737285287
-88.89653,13.794185,train,5.048126730877773E-4,66.02584440554895,0.6125116455427355
-88.98207,13.741312,train,6.581750596516511E-4,74.70572746133296,0.6733037418632042
-88.703673,13.433413,train,6.161841840180095E-4,72.35580362846864,0.6586402695130223
-88.142559,18.354812,train,4.721038496186086E-4,62.757194198137086,0.5964978270445663
-88.396754,18.40308,train,4.2645943393484245E-4,57.822682730316174,0.5718032047135985
-88.577065,18.260667,train,4.484730047640388E-4,60.15826808998124,0.5840795646516825
-88.60121,18.237124,train,4.3013515706986726E-4,58.03277935837051,0.5739032077152725
-88.49765,17.189877,train,2.7585659703047307E-4,38.48090231530965,0.46345923756759555
-79.91927,22.49372,train,2.921820966489627E-4,40.763601585130694,0.4777826323065346
-80.443778,22.159975,train,2.55050657110771E-4,35.72679587590191,0.4440248486178112
-81.532215,23.03034,train,3.4349473193852245E-4,47.63533474646371,0.5182085739037452
-82.366596,23.113592,train,3.938578797772619E-4,53.68855378479294,0.5522299897451515
-82.911803,22.816568,train,4.3392904675994937E-4,58.39130600128486,0.576049228089349
-86.872215,12.431553,train,5.091374295185763E-4,66.29569614742002,0.6145343453928114
-6.461,41.350144,train,1.9932922128550851E-4,27.998145289843965,0.38429737699511246
-86.872215,12.114993,train,5.143254441562658E-4,66.84256805359057,0.616933106215517
-86.236174,12.446468,train,4.991930599100535E-4,65.56837375941573,0.6098514070803082
-86.05296,11.955006,train,8.768977931399651E-4,83.01857181260411,0.733036820353141
-86.077172,12.145605,train,4.908343071316054E-4,64.64457784503429,0.6058262327918782
-86.268194,12.124615,train,4.982791840687913E-4,65.49055472638518,0.6094153354076374
-86.36302,13.085114,train,4.597649600501632E-4,61.39186150213073,0.5901075853730807
-86.459209,13.472601,train,4.1814424553868315E-4,57.02195843880769,0.566975356975819
-86.682222,13.27,train,3.98308222315828E-4,54.405616866753526,0.555006679646742
-89.398528,18.806656,train,3.4562170824965034E-4,48.02837064015464,0.5197496173612212
-100.901681,29.023806,train,1.629941757802876E-4,22.973136232083913,0.33791696313973135
146.921099,-31.253218,train,7.022016425603277E-5,8.926803300984108,0.18024776786396096
144.785153,-37.471308,train,8.592426785429903E-4,81.8882569789132,0.7290377771135226
-80.342198,27.499208,train,4.963192917895152E-4,65.22997060387972,0.6084768440257324
-84.387982,33.748995,train,5.600802505732711E-4,70.02375000353288,0.6368631003137424
-79.0193,35.759573,train,9.912393397367185E-4,87.17481462726775,0.7563277561090983
-81.163725,33.836081,train,3.815005305327452E-4,52.497755481300416,0.5443350023795421
-119.417932,36.778261,train,1.243333862735214E-4,17.019583205482725,0.2802264344842949
-85.602364,44.314844,train,7.238304297407021E-4,77.54323906373641,0.6938651401726238
-77.194525,41.203322,train,0.0015775670001772924,95.00011545899244,0.8316454183509923
-82.907123,40.417287,train,0.001123643726344481,89.60169191085937,0.7786862375768652
-89.398528,40.633125,train,6.505724197006481E-4,74.51726285606958,0.6707429807135802
-74.405661,40.058324,train,0.0012982107020897778,92.23051752234869,0.8025703119654732
-94.6859,46.729553,train,8.719998741918632E-5,11.613972592014449,0.21448477733199636
-76.641271,39.045755,train,0.0011238036606533552,89.60306225118839,0.7787107640891392
-91.831833,37.964253,train,9.285160354884852E-4,84.62742544763225,0.7440797590418587
-74.005973,40.712775,train,0.00145196552090624,94.17781643149918,0.8197076708172697
