X,Y,Test or train,Raw prediction,Cumulative prediction,Logistic prediction
-47.648064,-22.734286,train,6.65733717267071E-4,62.351304845883696,0.6146942164168084
-48.612387,-23.106709,train,0.0012060322185149554,84.50520149977208,0.7429367975053925
-48.444165,-22.884181,train,9.447594040680125E-4,76.5362594827325,0.6936263973972909
-46.499779,-23.709942,train,2.2862724341240527E-4,23.93023457724945,0.3539527590237155
-48.131024,-22.788382,train,8.037876512815291E-4,70.57749652091185,0.6582562318413865
-48.699068,-22.82203,train,0.0010418035988170103,81.11397137223196,0.7140031599449927
-47.96141,-22.530255,train,6.835821505768981E-4,63.5873346986012,0.6209411277371499
-49.00094,-22.701441,train,9.614061771455504E-4,77.5126231352774,0.697325617005313
-46.396136,-23.960745,train,2.1504567025587118E-4,22.949861311235672,0.3400768722238604
-43.172896,-22.906847,train,5.744099855131071E-4,55.943155975123794,0.5792124613590884
-43.460742,-22.756132,train,5.827683041961385E-4,56.752385213406825,0.5827293023239389
-84.327909,9.982252,train,2.0155433054858804E-4,21.78571079396149,0.3256901798584644
-85.413051,11.066564,train,6.489438616287569E-4,61.476035161611286,0.6086269019350635
-85.63064,11.070827,train,5.593029823365167E-4,54.29542789835155,0.5727033192153882
-88.985657,13.835482,train,4.2937714116900947E-4,42.26234305850934,0.5071329050531643
-88.98207,13.741312,train,6.570161620750489E-4,61.85366282042348,0.611567642647963
-88.703673,13.433413,train,6.569141866198235E-4,61.84597657562527,0.6115307686077173
-88.142559,18.354812,train,5.38594178065442E-4,52.48968179467943,0.5634462107871135
-88.396754,18.40308,train,7.224421486832102E-4,66.03067077360994,0.6338653183886428
-88.577065,18.260667,train,8.846125327460631E-4,74.4858958516284,0.6794722721053856
-88.60121,18.237124,train,5.104844104848252E-4,50.030273394189926,0.5502195995258864
-88.49765,17.189877,train,4.201919199864937E-4,41.27526515828525,0.501727359515628
-79.91927,22.49372,train,4.093735754450288E-4,40.03250864196598,0.49520665506416606
-80.443778,22.159975,train,4.95964446160308E-4,48.73991843572835,0.5430685435249472
-81.532215,23.03034,train,6.667834981099232E-4,62.44735086518421,0.6150673307975839
-82.366596,23.113592,train,7.220096423073603E-4,65.97933128052318,0.6337263256430473
-81.953482,22.892653,train,4.632765482776571E-4,45.774564958886174,0.526106756236283
-82.911803,22.816568,train,8.508427195168236E-4,73.05721655923489,0.670936818586215
-86.872215,12.431553,train,8.459170570798896E-4,72.8082279403465,0.669653701083424
-6.461,41.350144,train,1.0985762252653087E-4,12.849348951114642,0.20839670011689646
-86.236174,12.446468,train,4.2141279033902336E-4,41.46302796613225,0.5024526701323483
-86.05296,11.955006,train,7.283843623121355E-4,66.53901313324273,0.6357643170805259
-86.077172,12.145605,train,4.048675203138133E-4,39.50053303822431,0.49244002856921476
-86.268194,12.124615,train,4.251740891424637E-4,41.782451846098894,0.5046740170603231
-86.36302,13.085114,train,3.1160830087053487E-4,30.523995030404073,0.42750080924454964
